Id,Label,Capacity,CapacityTier,Degree,DegreeCentrality,BetweennessCentrality,ClusteringCoefficient,EigenvectorCentrality,Community,IsHub
1,Afghanistan,139.03514998040612,High,69,0.323944,0.000185,0.785991,0.055092,0,False
2,Australia,178.75983329743048,Very High,241,1.131455,0.006844,0.494374,0.125444,1,False
3,Austria,165.00400090113538,Very High,184,0.863850,0.002184,0.666329,0.109215,2,False
4,Belgium,174.05563969069064,Very High,238,1.117371,0.008051,0.498684,0.116927,0,False
5,Brazil,188.70920743419308,Very High,200,0.938967,0.003658,0.580911,0.093710,1,False
6,Canada,181.04973038019833,Very High,269,1.262911,0.024649,0.435673,0.134551,1,True
7,China,194.24828204039636,Very High,290,1.361502,0.024310,0.364244,0.131903,1,True
8,China, Hong Kong SAR,165.35462486915208,Very High,212,0.995305,0.006792,0.510409,0.106609,0,False
9,China, mainland,192.52278283373934,Very High,275,1.291080,0.016394,0.410058,0.127747,2,True
10,China, Taiwan Province of,169.93334227363675,Very High,207,0.971831,0.006173,0.515319,0.104600,1,False
11,Denmark,170.08912115937844,Very High,216,1.014085,0.003560,0.565066,0.107344,2,False
12,Egypt,135.48805510752646,High,109,0.511737,0.000000,0.575348,0.000000,0,False
13,Finland,153.49571569168953,Very High,161,0.755869,0.000665,0.714765,0.092897,2,False
14,France,189.02936533159993,Very High,285,1.338028,0.021611,0.409694,0.138267,0,True
15,Germany,188.05929442402842,Very High,273,1.281690,0.014585,0.429013,0.131461,0,True
16,Guatemala,150.70493034742609,Very High,128,0.600939,0.000296,0.711141,0.067254,1,False
17,India,171.35387066055165,Very High,234,1.098592,0.009738,0.487673,0.107001,0,False
18,Indonesia,186.5717819012941,Very High,192,0.901408,0.003199,0.575032,0.081088,0,False
19,Iran (Islamic Republic of),164.25189475399475,Very High,142,0.666667,0.001040,0.674195,0.081461,0,False
20,Iraq,72.61029611003353,Medium,10,0.046948,0.000000,0.866667,0.000000,0,False
21,Ireland,172.09752615995708,Very High,193,0.906103,0.003248,0.607762,0.090682,2,False
22,Italy,182.99743920692592,Very High,262,1.230047,0.013067,0.453989,0.125374,0,True
23,Japan,183.86809829462314,Very High,243,1.140845,0.007642,0.477618,0.122630,1,False
24,Kazakhstan,149.47997258112056,High,43,0.201878,0.000000,0.796788,0.000000,2,False
25,Lebanon,146.09126985129922,High,170,0.798122,0.003200,0.627067,0.101968,0,False
26,Malaysia,185.04572226566887,Very High,217,1.018779,0.009015,0.518747,0.094078,0,False
27,Netherlands,187.80242574060247,Very High,269,1.262911,0.014815,0.443495,0.133811,0,True
28,Pakistan,156.06278920674285,Very High,146,0.685446,0.002143,0.651262,0.071203,0,False
29,Philippines,157.33594847408787,Very High,160,0.751174,0.002272,0.702013,0.083041,1,False
30,Poland,167.4302097600639,Very High,202,0.948357,0.002501,0.603011,0.110924,2,False
31,Republic of Korea,174.68944139107242,Very High,210,0.985915,0.005913,0.555533,0.110964,0,False
32,Russian Federation,174.6467323923446,Very High,218,1.023474,0.003902,0.548621,0.117152,1,False
33,Saudi Arabia,161.8873363717913,Very High,118,0.553991,0.000960,0.677969,0.083066,0,False
34,Singapore,167.45722219940103,Very High,203,0.953052,0.006977,0.552782,0.100913,0,False
35,Spain,179.53247361829617,Very High,253,1.187793,0.010186,0.474341,0.123591,0,True
36,Sweden,165.77569044818037,Very High,218,1.023474,0.004016,0.557446,0.111859,1,False
37,Switzerland,168.69815751365934,Very High,250,1.173709,0.011601,0.476775,0.125196,0,False
38,Tajikistan,102.98362933537138,High,7,0.032864,0.000000,0.785714,0.000000,2,False
39,Thailand,178.35634725447423,Very High,222,1.042254,0.003356,0.526880,0.100923,1,False
40,Turkey,164.46239096493315,Very High,221,1.037559,0.005222,0.540659,0.113696,0,False
41,Turkmenistan,106.18209958669826,High,12,0.056338,0.000000,0.909091,0.000000,0,False
42,Ukraine,160.40045133362406,Very High,177,0.830986,0.001999,0.641126,0.104434,2,False
43,United Arab Emirates,151.9148492589613,Very High,78,0.366197,0.000000,0.555278,0.000000,0,False
44,United Kingdom,185.44367493980792,Very High,268,1.258216,0.017147,0.435769,0.125824,0,True
45,United States of America,200.0,Very High,288,1.352113,0.021549,0.397197,0.138043,0,True
46,Uzbekistan,118.9796804400611,High,31,0.145540,0.000000,0.836559,0.000000,2,False
47,Viet Nam,157.30468964091125,Very High,93,0.436620,0.000000,0.653927,0.000000,2,False
48,Albania,130.98699745908357,High,102,0.478873,0.000126,0.802657,0.077579,2,False
49,Argentina,181.89566329878343,Very High,199,0.934272,0.002303,0.592131,0.091947,1,False
50,Bahamas,99.65931035600715,Medium,55,0.258216,0.000000,0.711111,0.000000,0,False
51,Bosnia and Herzegovina,139.86985353317166,High,107,0.502347,0.000262,0.784246,0.093208,2,False
52,Bulgaria,150.12048684154408,Very High,170,0.798122,0.001459,0.693034,0.099751,2,False
53,Cabo Verde,113.49874718714236,High,42,0.197183,0.000110,0.730679,0.039113,0,False
54,Cameroon,139.24701212045161,High,93,0.436620,0.000350,0.759756,0.062623,0,False
55,Colombia,163.22244312253144,Very High,163,0.765258,0.001061,0.649891,0.086600,1,False
56,Comoros,36.527679979749635,Low,4,0.018779,0.000000,0.583333,0.000000,2,False
57,Congo,125.18394503175307,High,65,0.305164,0.000273,0.708616,0.049681,0,False
58,Costa Rica,151.9082838353692,Very High,141,0.661972,0.001090,0.698748,0.077985,1,False
59,C̫te d'Ivoire,152.1460387951821,Very High,127,0.596244,0.001418,0.683114,0.081000,0,False
60,Croatia,145.44421605407294,High,160,0.751174,0.001312,0.652025,0.110718,2,False
61,Cuba,124.81609116600691,High,79,0.370892,0.000000,0.652386,0.000000,1,False
62,Cyprus,137.81669928802114,High,131,0.615023,0.000334,0.773226,0.089945,2,False
63,Czech Republic,160.41493712109977,Very High,186,0.873239,0.001559,0.655653,0.113164,2,False
64,Dominica,86.48233127825259,Medium,16,0.075117,0.000000,0.695833,0.000000,1,False
65,Dominican Republic,134.19423349340263,High,49,0.230047,0.000000,0.728741,0.000000,1,False
66,Ecuador,154.12476070684215,Very High,141,0.661972,0.000263,0.700061,0.069253,1,False
67,Ethiopia,147.53819037138896,High,120,0.563380,0.000709,0.738102,0.077464,0,False
68,Greece,157.9327302714806,Very High,182,0.854460,0.002863,0.641895,0.106322,2,False
69,Hungary,160.95195461481296,Very High,168,0.788732,0.001298,0.700609,0.101762,2,False
70,Israel,159.10672444910418,Very High,172,0.807512,0.001118,0.681321,0.098886,2,False
71,Kenya,155.15921966213222,Very High,173,0.812207,0.003219,0.617635,0.090953,0,False
